Region,Target,Strategy,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Northern America,Non-residential EUI (kWh/m2/year),cross_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,18904.52,-8.943,135.05,137.494,49.446,49.661
Asia & Oceania,Residential EUI (kWh/m2/year),all_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1045.118,0.503,22.066,32.328,33.123,24.947
Asia & Oceania,Non-residential EUI (kWh/m2/year),all_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1251.553,0.468,22.249,35.377,14.06,15.63
Europe,Residential EUI (kWh/m2/year),all_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2670.84,0.149,42.363,51.68,27.5,21.874
Europe,Non-residential EUI (kWh/m2/year),all_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3096.717,0.287,42.023,55.648,21.451,17.836
Africa,Residential EUI (kWh/m2/year),all_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,556.471,-2.375,15.887,23.59,19.391,21.397
Africa,Non-residential EUI (kWh/m2/year),all_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,501.444,-2.188,18.252,22.393,20.468,17.633
Central and South America,Residential EUI (kWh/m2/year),all_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,332.307,-2.14,14.93,18.229,21.276,19.929
Central and South America,Non-residential EUI (kWh/m2/year),all_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,197.457,-3.878,11.974,14.052,11.683,11.288
Northern America,Residential EUI (kWh/m2/year),all_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2687.847,-0.768,46.208,51.844,25.791,27.32
Northern America,Non-residential EUI (kWh/m2/year),all_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,12778.478,-5.721,109.397,113.042,39.643,40.228
