,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,737.424,27.156,17.028,0.649,17.6,19.3
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,228.914,15.13,8.317,0.903,5.3,5.8
2,Europe,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,2705.33,52.013,41.062,0.138,26.1,21.2
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,5429.757,73.687,53.496,-0.25,25.0,22.7
4,Africa,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,119.675,10.94,6.115,0.274,7.2,8.2
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,166.877,12.918,5.107,-0.061,8.4,4.9
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,33.256,5.767,4.215,0.686,5.4,5.6
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,34.972,5.914,4.002,0.136,3.8,3.8
8,Northern America,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,1126.497,33.563,33.313,0.259,20.2,19.7
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,2601.481,51.005,35.524,-0.368,11.4,13.1
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,1454.707,38.141,28.236,0.308,36.4,31.9
11,Asia & Oceania,Non-residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,2139.277,46.252,28.168,0.09,17.2,19.8
12,Europe,Residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,3868.109,62.194,53.444,-0.233,27.1,27.6
13,Europe,Non-residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,4322.702,65.747,45.25,0.005,18.5,19.2
14,Africa,Residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,477.499,21.852,18.217,-1.896,25.0,24.5
15,Africa,Non-residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,246.926,15.714,7.639,-0.57,11.6,7.4
16,Central and South America,Residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,398.477,19.962,13.664,-2.765,16.6,18.2
17,Central and South America,Non-residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,3028.017,55.027,29.536,-73.809,29.1,27.8
18,Northern America,Residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,1519.338,38.979,38.378,0.0,23.9,22.7
19,Northern America,Non-residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,11323.996,106.414,104.349,-4.956,39.6,38.4
20,Asia & Oceania,Residential EUI (kWh/m2/year),all_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,620.022,24.9,15.35,0.705,15.2,17.4
21,Asia & Oceania,Non-residential EUI (kWh/m2/year),all_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,333.03,18.249,10.385,0.858,6.7,7.3
