,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MAPE,R²,MSE,RMSE,MAE,WAPE
0,Non-residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,35.96,-11.016,23059.332,92.521,82.972,33.88
1,Non-residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,39.22,-29.004,5449.081,70.553,60.275,38.92
2,Non-residential EUI (kWh/m2/year),all_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,20.14,-2.69,2627.26,44.81,35.737,19.3
3,Residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,27.58,-0.738,3087.253,43.71,32.765,22.82
4,Residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,34.32,-3.699,1644.541,40.321,33.53,32.34
5,Residential EUI (kWh/m2/year),all_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,23.0,-0.388,1068.497,30.513,24.106,20.84
