,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
11,Asia & Oceania,Non-residential EUI (kWh/m2/year),cross_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,2096.677,45.789,28.793,0.108,17.6,20.2
12,Europe,Residential EUI (kWh/m2/year),cross_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,2100.387,45.83,31.894,0.331,21.7,16.5
13,Europe,Non-residential EUI (kWh/m2/year),cross_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,3109.645,55.764,39.068,0.284,20.0,16.6
14,Africa,Residential EUI (kWh/m2/year),cross_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,1063.868,32.617,27.88,-5.452,38.5,37.5
15,Africa,Non-residential EUI (kWh/m2/year),cross_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,2140.636,46.267,38.196,-12.609,39.8,36.9
16,Central and South America,Residential EUI (kWh/m2/year),cross_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,608.255,24.663,21.32,-4.747,29.3,28.5
17,Central and South America,Non-residential EUI (kWh/m2/year),cross_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,1221.664,34.952,31.299,-29.182,30.2,29.5
18,Northern America,Residential EUI (kWh/m2/year),cross_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,1464.447,38.268,31.892,0.036,17.2,18.9
19,Northern America,Non-residential EUI (kWh/m2/year),cross_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,16183.688,127.215,123.898,-7.512,45.1,45.6
20,Asia & Oceania,Residential EUI (kWh/m2/year),all_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,926.449,30.438,22.191,0.559,31.3,25.1
21,Asia & Oceania,Non-residential EUI (kWh/m2/year),all_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,1292.168,35.947,21.787,0.45,13.5,15.3
22,Europe,Residential EUI (kWh/m2/year),all_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,2362.322,48.604,36.463,0.247,25.1,18.8
23,Europe,Non-residential EUI (kWh/m2/year),all_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,3020.005,54.955,38.783,0.305,20.2,16.5
24,Africa,Residential EUI (kWh/m2/year),all_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,364.925,19.103,16.109,-1.213,21.1,21.7
25,Africa,Non-residential EUI (kWh/m2/year),all_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,530.924,23.042,18.692,-2.375,21.3,18.1
26,Central and South America,Residential EUI (kWh/m2/year),all_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,188.008,13.712,10.638,-0.776,14.0,14.2
27,Central and South America,Non-residential EUI (kWh/m2/year),all_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,199.309,14.118,12.124,-3.924,11.8,11.4
28,Northern America,Residential EUI (kWh/m2/year),all_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,1259.603,35.491,30.567,0.171,16.7,18.1
29,Northern America,Non-residential EUI (kWh/m2/year),all_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,11112.235,105.415,100.831,-4.845,36.3,37.1
