,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
20,Asia & Oceania,Residential EUI (kWh/m2/year),all_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,1316.849,36.288,18.88,0.374,16.3,21.3
21,Asia & Oceania,Non-residential EUI (kWh/m2/year),all_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,2058.055,45.366,19.962,0.124,11.5,14.0
22,Europe,Residential EUI (kWh/m2/year),all_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,8732.746,93.449,70.193,-1.783,45.0,36.2
23,Europe,Non-residential EUI (kWh/m2/year),all_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,8863.417,94.146,56.185,-1.041,23.4,23.8
24,Africa,Residential EUI (kWh/m2/year),all_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,830.045,28.81,14.005,-4.034,15.9,18.9
25,Africa,Non-residential EUI (kWh/m2/year),all_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,216.223,14.705,6.819,-0.375,10.0,6.6
26,Central and South America,Residential EUI (kWh/m2/year),all_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,238.548,15.445,8.452,-1.254,11.5,11.3
27,Central and South America,Non-residential EUI (kWh/m2/year),all_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,23.448,4.842,3.289,0.421,3.1,3.1
28,Northern America,Residential EUI (kWh/m2/year),all_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,993.603,31.521,26.013,0.346,18.1,15.4
29,Northern America,Non-residential EUI (kWh/m2/year),all_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,11900.997,109.092,100.441,-5.26,40.1,36.9
