,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,968.44,31.12,22.549,0.553,28.5,25.7
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,623.829,24.977,18.771,0.551,14.1,13.8
2,Europe,Residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,2000.914,44.732,37.121,0.362,24.0,19.2
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,2178.065,46.67,32.621,0.498,15.3,13.8
4,Africa,Residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,107.42,10.364,6.354,0.348,8.1,8.6
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,156.797,12.522,4.695,0.003,8.1,4.5
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,51.499,7.176,5.285,0.512,6.8,7.0
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,38.501,6.205,4.724,0.105,4.6,4.5
8,Northern America,Residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,818.863,28.616,22.534,0.461,11.8,13.3
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,1941.684,44.065,30.587,-0.021,9.8,11.2
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,1202.426,34.676,28.096,0.445,43.9,32.0
