,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MAPE,R²,MSE,RMSE,MAE,WAPE
0,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,8.24,0.212,1296.867,28.146,17.219,8.18
1,Non-residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,13.8,-0.358,2487.303,39.157,28.966,13.82
2,Non-residential EUI (kWh/m2/year),all_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,10.4,0.095,1527.382,31.129,21.393,10.06
3,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,14.5,0.388,1057.657,26.96,19.851,14.52
4,Residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,21.22,0.081,1222.425,30.44,25.124,19.76
5,Residential EUI (kWh/m2/year),all_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,15.24,0.409,927.155,25.907,18.89,14.46
