,strategy,building_type,mape_overall,mape,params,features,combination_idx
0,within_domain,all,13.852176124610008,,"{'estimators': 10, 'depth': 10, 'split': 2, 'leaf': 3, 'features': 'sqrt', 'bootstrap': True, 'state': 42, 'jobs': '-1'}","['hdd_total_year', 'Subnational HDI', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'longitude_cos', 'latitude_sin', 'latitude_cos']",0
1,within_domain,residential,13.852176124610008,16.382295971901723,"{'estimators': 10, 'depth': 10, 'split': 2, 'leaf': 3, 'features': 'sqrt', 'bootstrap': True, 'state': 42, 'jobs': '-1'}","['hdd_total_year', 'Subnational HDI', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'longitude_cos', 'latitude_sin', 'latitude_cos']",0
2,within_domain,non_residential,13.852176124610008,11.322056277318293,"{'estimators': 10, 'depth': 10, 'split': 2, 'leaf': 3, 'features': 'sqrt', 'bootstrap': True, 'state': 42, 'jobs': '-1'}","['hdd_total_year', 'Subnational HDI', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'longitude_cos', 'latitude_sin', 'latitude_cos']",0
3,cross_domain,all,18.314341721574174,,"{'estimators': 10, 'depth': 10, 'split': 2, 'leaf': 3, 'features': 'sqrt', 'bootstrap': True, 'state': 42, 'jobs': '-1'}","['hdd_total_year', 'Subnational HDI', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'longitude_cos', 'latitude_sin', 'latitude_cos']",0
4,cross_domain,residential,18.314341721574174,23.972338801668943,"{'estimators': 10, 'depth': 10, 'split': 2, 'leaf': 3, 'features': 'sqrt', 'bootstrap': True, 'state': 42, 'jobs': '-1'}","['hdd_total_year', 'Subnational HDI', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'longitude_cos', 'latitude_sin', 'latitude_cos']",0
5,cross_domain,non_residential,18.314341721574174,12.6563446414794,"{'estimators': 10, 'depth': 10, 'split': 2, 'leaf': 3, 'features': 'sqrt', 'bootstrap': True, 'state': 42, 'jobs': '-1'}","['hdd_total_year', 'Subnational HDI', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'longitude_cos', 'latitude_sin', 'latitude_cos']",0
6,all_domain,all,14.047011510897773,,"{'estimators': 10, 'depth': 10, 'split': 2, 'leaf': 3, 'features': 'sqrt', 'bootstrap': True, 'state': 42, 'jobs': '-1'}","['hdd_total_year', 'Subnational HDI', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'longitude_cos', 'latitude_sin', 'latitude_cos']",0
7,all_domain,residential,14.047011510897773,17.317156529116332,"{'estimators': 10, 'depth': 10, 'split': 2, 'leaf': 3, 'features': 'sqrt', 'bootstrap': True, 'state': 42, 'jobs': '-1'}","['hdd_total_year', 'Subnational HDI', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'longitude_cos', 'latitude_sin', 'latitude_cos']",0
8,all_domain,non_residential,14.047011510897773,10.776866492679215,"{'estimators': 10, 'depth': 10, 'split': 2, 'leaf': 3, 'features': 'sqrt', 'bootstrap': True, 'state': 42, 'jobs': '-1'}","['hdd_total_year', 'Subnational HDI', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'longitude_cos', 'latitude_sin', 'latitude_cos']",0
9,within_domain,all,13.346651901842847,,"{'estimators': 30, 'depth': 10, 'split': 2, 'leaf': 3, 'features': 'sqrt', 'bootstrap': True, 'state': 42, 'jobs': '-1'}","['hdd_total_year', 'Subnational HDI', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'longitude_cos', 'latitude_sin', 'latitude_cos']",1
