geonameid,nearest_hdd_1,nearest_hdd_2,nearest_hdd_3,nearest_hdd_4,nearest_hdd_5,nearest_hdd_6,nearest_hdd_7,nearest_hdd_8,nearest_hdd_9,nearest_hdd_10,nearest_hdd_11,nearest_hdd_12,total_year,average_year,variance_year
1275004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1275339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1275389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1275817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1275841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1276533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1277333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1278314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1278718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1278994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1279186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6975504557291664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1279233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1279259,0.0,0.0,0.0,0.0,0.0,0.0825424194335937,0.1139984130859375,0.0,0.0,0.0,0.0,0.0,0.0825424194335937,0.0137570699055989,0.0011355418343252
111822,0.0,0.0,0.0,0.0,0.2095489501953125,20.498546600341797,0.0,18.753724416097004,0.0,12.36760584513346,0.0,0.0,20.70809555053711,3.4513492584228516,69.75269065344328
112931,4.182188669840493,0.0,0.0,0.0,33.80592981974285,32.3884391784668,9.435142517089842,28.93569056193032,4.738660176595052,52.35014470418296,14.59301884969076,0.0,70.37655766805014,11.729426278008356,276.7731881194733
113646,20.17086029052735,0.0,0.4842961629231769,12.834321339925134,43.44801966349288,28.354503631591765,24.145510355631497,16.261211395263672,14.37570444742838,57.99866358439132,41.9554761250814,2.4998842875162763,105.29200108846032,17.548666848076717,283.15839837886926
115019,0.0,0.0,0.0,0.0,0.0,4.650914510091146,0.0,0.2469571431477865,0.0,1.4391708374023438,0.0,0.0,4.650914510091146,0.7751524183485244,3.605167630029394
