geonameid,2m_temperature_2023_avg,2m_dewpoint_temperature_2023_avg,total_precipitation_2023
1262180,299.93,291.22,1.153
1262321,298.05,290.99,0.957
1263364,298.06,291.34,0.818
1263780,300.89,297.2,2.136
1264521,302.11,294.5,1.206
1264527,301.68,297.17,1.298
1264728,296.57,291.23,0.894
1264733,298.59,291.79,0.952
1266366,293.84,290.78,2.413
1269300,299.86,292.57,1.129
1269515,297.98,288.61,0.525
1269633,298.46,290.75,1.087
1269655,296.08,291.88,1.779
1269743,298.45,288.9,1.251
1269771,294.46,289.82,1.051
1269843,299.34,291.28,0.956
1270022,298.03,290.38,0.634
1270351,294.88,289.26,1.164
1271476,298.44,294.33,2.618
1273099,300.63,295.53,1.882
1273294,297.72,290.99,0.693
1273313,294.17,288.78,1.252
1273865,299.89,292.75,0.988
1273874,300.19,296.86,2.81
1274056,299.28,289.75,0.559
1274746,296.55,289.41,0.796
1275004,300.21,295.67,1.361
1275339,300.54,295.18,2.086
1275389,299.57,292.07,1.116
1275817,300.83,296.13,1.462
1275841,298.12,290.01,1.152
1276533,297.57,290.71,1.157
1277333,297.43,290.47,0.777
1278314,299.49,293.1,1.219
1278718,299.92,291.17,1.083
1278994,299.27,292.34,0.913
1279186,296.04,291.73,1.633
1279233,300.64,291.9,0.809
1279259,298.02,291.49,0.821
111822,293.12,271.94,0.115
112931,286.84,271.47,0.239
113646,285.8,274.22,0.356
115019,290.78,274.59,0.356
118743,290.36,285.96,1.342
124665,287.99,274.59,0.139
132892,286.48,280.88,1.09
141681,300.58,291.5,0.164
418863,291.43,271.73,0.133
2523920,291.14,285.39,0.673
3164603,288.74,284.43,1.036
3165523,279.47,274.14,1.502
3169070,290.21,284.73,0.821
3172391,289.32,284.59,1.404
3173435,288.66,282.65,1.226
3489854,299.53,295.37,0.888
250441,292.4,281.36,0.191
1848354,290.91,285.91,1.331
1849927,292.57,287.31,1.986
1850147,290.73,285.07,1.224
1852225,290.68,286.1,1.768
1853909,290.88,284.91,1.467
1856057,290.41,284.23,1.471
1857516,281.12,276.44,2.577
1860827,292.2,287.71,2.323
2128295,281.83,278.43,1.303
178440,301.55,291.97,0.6
184745,292.62,285.8,0.53
186301,299.93,295.98,1.14
191245,295.26,289.83,2.161
1528675,280.14,272.22,1.155
1821306,301.98,297.2,1.545
921772,298.34,294.94,1.218
1833747,288.54,282.26,1.531
1835848,286.42,280.94,1.323
1843137,284.76,278.33,1.572
1846677,285.94,280.01,1.655
6811692,286.87,280.83,1.545
11982755,287.55,282.53,1.574
1526041,279.77,271.67,0.352
1651944,300.82,295.09,1.788
276781,293.82,287.37,0.783
3576812,300.24,295.39,0.979
1226260,301.17,296.65,1.812
1241622,296.19,293.26,2.522
1242833,301.15,297.47,1.509
1248991,300.71,297.49,3.122
2274895,299.94,297.62,3.324
932505,287.65,279.3,0.905
598316,282.29,277.84,0.754
2210247,294.25,288.62,0.308
2530335,292.36,287.17,0.314
2534515,292.56,288.22,0.127
2538475,292.42,287.8,0.224
2546917,287.66,276.35,0.497
2553604,292.32,287.05,0.224
618426,285.58,278.91,0.463
3193044,286.99,281.21,2.343
1069129,299.56,293.42,0.625
1070940,291.91,287.27,1.145
2455518,303.93,287.71,0.403
2457163,304.34,278.34,0.053
2460596,301.37,288.57,0.757
1298824,301.55,297.04,2.201
1311874,301.3,294.66,0.894
2028462,271.55,264.86,0.409
2377450,299.15,288.8,0.046
2377457,294.98,289.4,0.04
934154,297.28,293.36,1.307
1282027,300.68,296.84,1.978
235715,298.85,292.41,0.837
923295,295.97,289.61,1.412
927967,294.32,287.72,0.956
3514783,300.16,295.16,1.123
3516355,299.06,294.64,0.577
3523349,300.59,294.66,0.55
3530597,288.97,280.39,0.693
3531673,300.22,296.03,0.93
3985606,291.29,280.66,0.273
3995465,296.0,287.85,0.529
3996069,297.19,275.96,0.126
3996322,298.58,294.75,0.542
4004898,298.17,281.67,0.075
4005270,292.12,279.56,0.546
4005539,294.74,283.35,0.744
1037021,299.3,295.49,1.116
1040652,296.5,291.24,0.736
1052373,298.41,293.63,1.227
3352136,292.51,274.21,0.389
2440485,303.36,285.27,0.198
2322911,302.94,285.89,0.225
2324774,300.37,297.47,3.065
2331447,301.35,287.57,0.408
2331939,302.22,294.74,0.651
2332459,300.69,297.62,1.722
2335204,299.72,287.42,0.581
2335727,298.75,288.8,0.722
2339354,300.17,295.34,1.244
2343279,300.67,294.41,1.42
2346229,300.08,297.56,3.612
2347283,300.07,296.81,2.427
2352778,300.3,292.24,1.27
3617763,301.89,294.61,0.964
2747891,284.99,281.59,1.097
2759793,284.84,281.5,1.12
3143244,278.68,274.58,1.233
3161732,280.74,277.3,2.352
1283240,291.05,286.65,2.474
2179537,286.89,283.49,1.049
2192362,285.94,281.9,0.693
2193732,289.34,285.89,1.552
3693528,298.07,292.02,0.644
3698350,297.4,291.58,0.495
3936456,293.86,289.72,0.183
3938527,295.13,287.17,0.128
3941584,283.05,276.72,1.272
3947322,286.85,273.37,0.793
2087894,300.14,296.94,3.318
2088122,299.5,295.81,1.824
1701668,301.45,296.99,1.799
1715348,300.12,296.59,3.06
