geonameid,latitude,longitude,population_density
1264521,9.919,78.11953,24443.53855463743
1264527,13.08784,80.27847,38117.46179467484
1264728,30.91204,75.85379,24206.81259132862
1264733,26.83928,80.92313,13648.59887916565
1266366,25.67467,94.11099,1292.506282587723
1269300,22.80278,86.18545,10419.19675317593
1269515,26.91962,75.78781,23230.578782491684
1269633,23.16697,79.95006,21462.56180909157
1269655,27.08694,93.60987,3702.6576868861166
1269743,22.71792,75.8333,40876.13105833485
1269771,24.80805,93.9442,7340.911484660693
1269843,17.38405,78.45636,45507.11849760055
1270022,29.15394,75.72294,14572.538043591976
1270351,29.94791,78.16025,6498.349809994808
1271476,26.1844,91.7458,13905.33561149437
1273099,17.99177,73.0378,253.11200212806466
1273294,28.65195,77.23149,62379.31132930279
1273313,30.32443,78.03392,14655.85472782731
1273865,11.00555,76.96612,4581.719478077144
1273874,9.93988,76.26022,25958.49336961411
1274056,14.22262,76.40038,22866.163532111197
1274746,30.73629,76.7884,11329.806888369323
1275004,22.56263,88.36304,46241.81529478073
1275339,19.07283,72.88261,38064.44830653764
1275389,24.69808,84.9869,12951.744214238823
1275817,20.27241,85.83385,10998.040174927712
1275841,23.25469,77.40289,19589.344828171117
1276533,15.85212,74.50447,14010.843132963553
1277333,12.97194,77.59369,50095.73098638106
1278314,23.68333,86.98333,63497.05793228987
1278718,20.93333,77.75,16520.103574622273
1278994,25.44478,81.84322,23610.409239754823
1279186,23.72894,92.71791,36290.65212760352
1279233,23.02579,72.58727,51357.74788931816
1279259,27.18333,78.01667,30365.41630016908
111822,31.89722,54.3675,5560.804850907325
112931,35.69439,51.42151,23558.07867195256
113646,38.08,46.2919,11745.303711149427
115019,29.61031,52.53113,8048.383453733028
118743,37.27611,49.58862,14823.04168167379
124665,36.29807,59.60567,18818.590011649663
132892,36.8427,54.44391,10189.06432827645
141681,27.1865,56.2808,8694.91919719912
418863,32.65246,51.67462,13415.041658304966
2523920,38.1166,13.3636,9527.162873248011
3164603,45.43713,12.33265,10287.710302152205
3165523,45.13333,7.36667,130.6237431212398
3169070,41.89193,12.51133,12462.171744649362
3172391,40.88333,14.41667,439.37244101748934
3173435,45.46427,9.18951,5785.44041307312
3489854,17.99702,-76.79358,9108.1226813747
250441,31.95522,35.94503,39071.827008243796
1848354,35.43333,139.65,13425.69088997661
1849927,32.82855,132.89283,36.14089202799368
1850147,35.6895,139.69171,16321.152359847101
1852225,33.95548,130.93713,5386.973915108893
1853909,34.69379,135.50107,16002.463604516455
1856057,35.18147,136.90641,13031.594600720953
1857516,36.20418,137.81419,19.28863103568761
1860827,31.56667,130.55,4472.2233550217425
2128295,43.06667,141.35,10483.649523171616
178440,1.75,40.01667,607.0181486853025
184745,-1.28333,36.81667,3542.505689262305
186301,-4.05466,39.66359,19901.82751427949
191245,-0.10221,34.76171,6043.258870704789
1528675,42.87,74.59,32069.611804420954
1821306,11.56245,104.91601,30389.083876987548
921772,-11.70216,43.25506,8217.254434276298
1833747,35.53722,129.31667,9143.893285757138
1835848,37.566,126.9784,19412.507960416584
1843137,37.75266,128.87239,3467.4754488810013
1846677,35.42441,127.67962,53.76672349750556
6811692,36.9122,127.1279,3695.016791451095
11982755,35.55479,126.6251,75.46058087512857
1526041,48.68659,71.64469,2533.836688843684
1651944,17.96667,102.6,2135.9528643616286
276781,33.89332,35.50157,17190.69173298901
3576812,13.9957,-61.00614,921.2053322652635
1226260,8.5778,81.2289,4631.920172614735
1241622,7.2906,80.6336,4796.814486621199
1242833,9.66845,80.00742,4753.859237226958
1248991,6.93548,79.84868,8136.303967699629
2274895,6.30054,-10.7969,3958.566687136404
932505,-29.31667,27.48333,3075.488302276665
598316,54.90272,23.90961,6661.494562724709
2210247,32.88743,13.18733,9135.5439678666
2530335,35.76727,-5.79975,18615.098467927426
2534515,29.37975,-10.17299,2474.570115401149
2538475,34.01325,-6.83255,9179.992333008353
2546917,33.52666,-5.11019,2283.9694118335096
2553604,33.58831,-7.61138,15387.321429714673
618426,47.00556,28.8575,5561.545386707203
3193044,42.44111,19.26361,7561.825676819775
1069129,-12.31732,49.29188,4128.456929180008
1070940,-18.91368,47.53613,20299.849090442658
2455518,14.44693,-11.44448,10393.839840555638
2457163,16.27167,-0.04472,10022.968485215306
2460596,12.65,-8.0,10035.823652257677
1298824,16.80528,96.15611,13001.4468595016
1311874,21.97473,96.08359,28478.727694776808
2028462,47.90771,106.88324,8063.875385284424
2377450,18.08581,-15.9785,12538.501656739412
2377457,20.94188,-17.03842,9229.51173594065
934154,-20.16194,57.49889,3611.710418965146
1282027,4.17521,73.50916,50457.61218739509
235715,-9.93333,33.93333,3363.82042347692
923295,-15.38596,35.3188,2527.784152936381
927967,-13.96692,33.78725,118.2322254926199
3514783,19.18095,-96.1429,9180.453295476438
3516355,22.28519,-97.87777,7471.933720944709
3523349,20.97537,-89.61696,2115.483355565071
3530597,19.42847,-99.12766,17500.619193249942
3531673,21.17429,-86.84656,9726.713862724304
3985606,22.14982,-100.97916,4539.301686058641
3995465,25.67507,-100.31847,1241.3007956713438
3996069,32.62781,-115.45446,4595.329370309741
3996322,23.2329,-106.4062,9457.765828155094
4004898,29.1026,-110.97732,5102.719875176747
4005270,21.01858,-101.2591,9761.543665426456
4005539,20.66682,-103.39182,3495.771726222038
1037021,-14.96778,40.66389,1237.4693010103517
1040652,-25.96553,32.58322,8571.27730394721
1052373,-19.84361,34.83889,6499.699808115996
3352136,-22.55941,17.08323,1052.260089437959
2440485,13.51366,2.1098,10517.623556840159
2322911,13.06269,5.24322,19888.58798752308
2324774,4.77742,7.0134,26544.25893426351
2331447,11.84692,13.15712,14401.840812492372
2331939,7.79688,6.74048,12972.430237988903
2332459,6.45407,3.39467,16796.243778634966
2335204,12.00012,8.51672,41568.68709400177
2335727,10.52641,7.43879,7666.129722547829
2339354,7.37756,3.90591,24460.205365447997
2343279,6.44132,7.49883,5451.295669361352
2346229,4.95893,8.32695,5267.420757404379
2347283,6.33815,5.62575,7673.51667803444
2352778,9.05785,7.49508,3755.004173903363
3617763,12.13282,-86.2504,10040.420170974732
2747891,51.9225,4.47917,8508.76736814777
2759793,52.37302,4.89856,10765.958992853555
3143244,59.91273,10.74609,12490.083852226806
3161732,60.39299,5.32415,6559.032184276612
1283240,27.70169,85.3206,37870.43701099813
2179537,-41.28664,174.77557,3263.2251972865015
2192362,-43.53333,172.63333,2339.9562455441264
2193732,-36.85582,174.74304,3122.7833108124987
3693528,-5.19449,-80.63282,12016.937053233385
3698350,-6.77137,-79.84088,22668.40581655979
3936456,-12.04318,-77.02824,21270.646760036714
3938527,-14.06777,-75.72861,12237.640757039786
3941584,-13.52264,-71.96734,12197.17727094382
3947322,-16.39889,-71.535,9697.565888242778
2087894,-4.20037,152.16297,2226.872884152643
2088122,-9.47723,147.15089,3062.5971291169703
1701668,14.6042,120.9822,35604.5613144274
1715348,7.07306,125.61278,15924.301249918082
1717512,10.31672,123.89071,15691.195340521335
1166993,33.59733,73.0479,16281.13740859429
1167528,30.18414,67.00141,9885.076781144142
1168197,34.008,71.57849,27260.08850544029
1172451,31.558,74.35071,15070.765048509464
1174872,24.8608,67.0104,64013.743791198736
1176615,33.72148,73.04329,8460.138124352632
756135,52.22977,21.01178,12857.014790134297
3088171,52.40692,16.92993,10071.42988559583
3094802,50.06143,19.93658,14137.475596157783
2267057,38.71667,-9.13333,9590.004417163036
2268339,37.01869,-7.92716,6539.286167714438
2735943,41.14961,-8.61099,6682.249926908977
3439389,-25.28646,-57.647,6469.211047750377
681290,46.76667,23.6,12076.912580236894
683506,44.43225,26.10626,21614.428153547564
792680,44.80401,20.46513,18646.58521988657
498817,59.93863,30.31413,7227.044058343776
499099,53.20007,50.15,12498.031964979238
501175,47.23135,39.72328,14163.29116290373
524901,55.75222,37.61556,11264.051448264141
581049,64.54717,40.55291,12200.178114578128
1486209,56.8519,60.6122,11269.844350008485
1496153,54.99244,73.36859,8261.411868316049
1502026,56.02668,92.90765,4261.457840561619
2013159,62.03389,129.73306,7741.357287479553
2013348,43.10562,131.87353,4549.492478235074
2023469,52.29778,104.29639,3343.356831227342
202061,-1.94995,30.05885,11401.658134751915
108410,24.68773,46.72185,13428.142329256387
2108502,-9.43333,159.95,3204.235275110351
364132,21.79577,31.37129,1235.7889047848944
377039,19.61745,37.21644,8873.36043649165
379003,13.18421,30.21669,8429.46731823776
379252,15.55177,32.53241,7763.567483027764
379555,13.62793,25.34936,10793.024842156525
605155,67.85572,20.22513,1652.493926352945
2673730,59.32938,18.06871,13459.0842217704
2711537,57.70716,11.96679,3810.923000323983
2713573,63.18333,14.53333,17.26916668653412
1880252,1.28967,103.85007,2471.579967989159
3239318,46.05918,14.50916,8805.507786946217
724443,48.71395,21.25808,5438.632071661659
3060972,48.14816,17.10674,4175.397765318553
2407790,7.87687,-11.19025,13436.143199885488
2409306,8.48714,-13.2356,18151.861850433797
2410048,7.96472,-11.73833,13764.61096852228
2253354,14.6937,-17.44406,24690.84438644767
53654,2.03711,45.34375,60165.23456022106
373303,4.85165,31.58247,5694.43168259561
2410763,0.33654,6.72732,10465.914875787832
3583361,13.68935,-89.18718,6391.183984809815
170654,33.5102,36.29128,30114.429036064146
934995,-26.49884,31.38004,1980.8073515371887
2427123,12.10672,15.0444,8056.21930306226
2432678,17.9257,19.10428,21296.754507837148
2365267,6.12874,1.22154,7435.106020681421
1609350,13.75398,100.50144,14262.595242096893
1221874,38.53575,68.77905,13207.493333745126
1645457,-8.55861,125.57361,10785.464076237156
2464461,34.0,9.0,0.0
2468369,33.88146,10.0982,6300.8344086807865
4032402,-21.13683,-175.20114,433.18446537315845
311046,38.41273,27.13838,7454.562703802074
323786,39.91987,32.85427,16802.53433204794
745044,41.01384,28.94966,29540.630078005695
3573703,11.18229,-60.73525,1687.8344721270353
1668341,25.05306,121.52639,12785.231928205489
148730,-6.16394,39.19793,17912.978322009447
149658,-5.01622,32.82663,5538.849453797155
153220,-6.82102,37.66122,8086.010334818289
154380,-8.9,33.45,7329.007462198091
155946,-9.5,38.5,0.0
160263,-6.82349,39.26951,28920.53181990802
698740,46.48572,30.74383,14582.121468239257
703448,50.45466,30.5238,15325.156911568381
229362,1.67444,31.715,3223.9197351710873
232422,0.31628,32.58219,5238.698524073511
233508,0.05621,32.47949,437.48181307376365
4138106,38.91706,-77.00025,4714.6968563605715
4164138,25.77427,-80.19366,6676.131292708069
4335045,29.95465,-90.07507,2567.909241527021
4560349,39.95238,-75.16362,10405.728626523374
4560349,39.95238,-75.16362,10405.728626523374
4671654,30.26715,-97.74306,1859.3759109402697
4699066,29.76328,-95.36327,1407.5800400281696
4887398,41.85003,-87.65005,3890.1720802851587
4887398,41.85003,-87.65005,3890.1720802851587
4930956,42.35843,-71.05977,7173.982888079352
4930956,42.35843,-71.05977,7173.982888079352
5059296,46.16525,-98.42704,18.121773431003945
5128581,40.71427,-74.00597,24939.673279027145
5128581,40.71427,-74.00597,24939.673279027145
5367440,37.68187,-121.76801,2740.3021897691797
5368361,34.05223,-118.24368,4984.897429206731
5391959,37.77493,-122.41942,19213.485764070105
5746545,45.52345,-122.67621,4788.101785260961
5809844,47.60621,-122.33207,7457.427801561542
5809844,47.60621,-122.33207,7457.427801561542
3441575,-34.90328,-56.18816,16185.540710880608
1512569,41.26465,69.21627,3491.357449935129
3646738,10.48801,-66.87919,19020.970275419502
1562798,18.67337,105.69232,8639.635009487942
1566083,10.82302,106.62965,28984.96451145273
1568043,22.34023,103.84415,10008.961090486126
1572151,12.24507,109.19432,12742.517056669703
1581130,21.0245,105.84117,33892.917857198714
1583992,16.06778,108.22083,22710.3172886595
1584071,11.94646,108.44193,5385.270765463077
1586203,10.03711,105.78825,19935.40566315716
1586443,9.17682,105.15242,9426.625303778816
2135171,-17.73648,168.31366,3910.054376387656
4035413,-13.83333,-171.76666,0.0
71137,15.35472,44.20667,41342.84522941589
415189,12.77944,45.03667,32140.951340262443
945945,-28.44776,21.25612,1122.37118837588
964137,-25.74486,28.18783,5411.16885418552
964420,-33.96109,25.61494,3300.592440073471
965289,-23.90449,29.46885,4476.907012744247
967106,-33.60047,22.19955,1175.7602575657588
971534,-25.47512,30.96935,1094.4852483370285
981827,-23.04385,29.90319,1072.9374325210788
990930,-28.73226,24.76232,2178.170367686972
1002108,-26.23481,28.17665,2616.099377914369
1006984,-33.01529,27.91162,4217.4508580155225
1007311,-29.8579,31.0292,2958.339795947624
1018725,-29.12107,26.214,2799.4328167713434
3369157,-33.92584,18.42322,2845.734899806473
909137,-15.40669,28.28713,7031.355416183472
890299,-17.82772,31.05337,12115.09730123669
894701,-20.15,28.58333,9182.937664203197
