latitude,longitude,Residential EUI (kWh/m²/year),Non-residential EUI (kWh/m²/year),Residential Area,Non-Residential Area
47.61275,-122.3333,,170.4153997685873,,838117.0
47.60705,-122.30966,,,,
47.52518,-122.34828,,,,
47.65097,-122.34227,,22.32396444781748,,75397.0
47.60399,-122.32377,,,,
47.59626,-122.3218,,288.1712600764904,,102796.0
47.57678,-122.38459,,,,
47.6136,-122.32785,227.16531335382822,,51976.0,
47.66568,-122.31368,,95.83825075819006,,55653.0
47.66151,-122.31457,,236.90626829310293,,106860.0
47.71895,-122.29475,,190.46426975273053,,50759.0
47.66182,-122.31113,,241.04925392565454,,56772.0
47.6626,-122.31164,,68.06564186998875,,87250.0
47.67723,-122.31281,,,,
47.67184,-122.29221,,,,
47.64052,-122.3656,,,,
47.57298,-122.39028,,,,
47.59096,-122.29985,,,,
47.67725,-122.32232,,,,
47.61103,-122.33238,,79.76344955466786,,166570.0
47.60699,-122.33481,,752.3938286806989,,208328.0
47.56379,-122.36301,109.70273228862575,,56617.0,
47.72217,-122.29182,143.50682786885673,,56745.0,
47.53685,-122.28406,100.78801880406515,,67920.0,
47.55237,-122.31391,,,,
47.61235,-122.3518,,559.6254908147009,,122309.0
47.61137,-122.34947,,,,
47.61069,-122.34653,,240.92888985206315,,293030.0
47.60729,-122.34211,,856.3696904655552,,53365.0
47.6041,-122.33958,,561.5718201183118,,62900.0
47.60271,-122.33557,,39.97957058794707,,46620.0
47.59486,-122.32455,,50.64774776392402,,203504.0
47.61757,-122.35122,,275.40928899018434,,100734.0
47.61703,-122.35012,,159.30284317352513,,77662.0
47.61619,-122.34599,,141.31457246419413,,234000.0
47.61192,-122.33717,,472.28519422730795,,111077.0
47.61192,-122.33717,,83.88381406253716,,516342.0
47.61316,-122.3343,,150.09959016725176,,791396.0
47.61399,-122.33523,,71.19170101599373,,747747.0
47.61375,-122.33566,,105.9527484985357,,204790.0
47.61256,-122.33808,,120.55441661574342,,73399.0
47.61402,-122.33712,,80.75606437017781,,265851.0
47.61578,-122.33726,,56.33764933227595,,758043.0
47.61641,-122.34112,,80.82612817203605,,190642.0
47.61555,-122.33582,,107.91326836886508,,824887.0
47.61516,-122.33303,,94.33937007285786,,480840.0
47.61598,-122.33448,,616.4368768179475,,299070.0
47.60266,-122.33332,,77.60798383919858,,89550.0
47.60219,-122.33347,,142.51340477393927,,89355.0
47.6036,-122.33288,,73.41484636988271,,388934.0
47.60403,-122.33497,,90.35329797898733,,384302.0
47.6037,-122.33447,,156.18320508445976,,378525.0
47.60505,-122.33427,,80.71603810394329,,1323055.0
47.60567,-122.33511,,87.24902610660835,,589921.0
47.60581,-122.33664,,87.25530492328372,,147672.0
47.60614,-122.33674,,79.93804898830228,,635303.0
47.60642,-122.33581,,711.6627730834198,,172842.0
47.60655,-122.33533,,94.4745557114618,,776762.0
47.60671,-122.33456,,120.16888719304437,,186768.0
47.60615,-122.33388,,119.21666288603754,,1123435.0
47.60549,-122.33319,,86.79503087140789,,1052469.0
47.60616,-122.33165,,153.22609837711335,,711611.0
47.60471,-122.33261,,100.47846219452431,,201480.0
47.60501,-122.32988,,99.90550417501846,,1354987.0
47.60421,-122.32919,,198.80106861780146,,310490.0
47.60377,-122.32971,,237.85124718664463,,199530.0
47.60249,-122.32854,,117.40241080003568,,372242.0
47.60193,-122.32812,,175.1434633195756,,114395.0
47.66024,-122.31278,,179.99679435646487,,89200.0
47.66072,-122.31466,,,,
47.6606,-122.31512,,3120.7181940662126,,36000.0
47.661,-122.31626,,174.86154230274906,,99005.0
47.66065,-122.31689,,81.40172447607769,,135051.0
47.65999,-122.31741,,61.41854993251501,,220649.0
