latitude,longitude,Residential EUI (kWh/m2/year),Non-residential EUI (kWh/m2/year),Residential Area (ft²),Non-residential Area (ft²)
42.3555,-71.0565,262.13304009789897,,113582.0,
42.3555,-71.0565,152.73301906078296,,56610.0,
42.3555,-71.0565,,210.70662757109594,,93655.0
42.3555,-71.0565,,112.56027048596272,,46000.0
42.3555,-71.0565,127.66172400554039,,283083.0,
42.3555,-71.0565,,257.8633279292857,,114803.0
42.3555,-71.0565,299.88444619292187,,37760.0,
42.3555,-71.0565,278.9998121345478,,31586.0,
42.3555,-71.0565,,278.6178033036757,,83451.0
42.3555,-71.0565,,146.87428456642428,,190451.0
42.3555,-71.0565,,310.04898392815977,,72850.0
42.3555,-71.0565,143.49574359750338,,78910.0,
42.3555,-71.0565,,235.31275354889326,,822351.0
42.3555,-71.0565,243.9071878371593,,72450.0,
42.3555,-71.0565,,149.85744136344792,,38375.0
42.3555,-71.0565,46.15752610614107,,61448.0,
42.3555,-71.0565,,205.1240788649174,,95400.0
42.3555,-71.0565,,,,90234.0
42.3555,-71.0565,,1034.81298812666,,436363.0
42.3555,-71.0565,,,28557.0,
42.3555,-71.0565,,,25981.0,
42.3555,-71.0565,,106.31688069194624,,117801.0
42.3555,-71.0565,,106.04492969117355,,50305.0
42.3555,-71.0565,123.71216136652973,,343470.0,
42.3555,-71.0565,209.1347650669746,,35000.0,
42.3555,-71.0565,215.82340429783963,,341440.0,
42.3555,-71.0565,125.09776530819568,,28832.0,
42.3555,-71.0565,128.98448474291501,,28832.0,
42.3555,-71.0565,124.88910574134648,,30800.0,
42.3555,-71.0565,120.85721979007945,,84310.0,
42.3555,-71.0565,152.40726181278973,,174895.0,
42.3555,-71.0565,168.44974621068096,,291222.0,
42.3555,-71.0565,259.9905074622882,,340200.0,
42.3555,-71.0565,245.08767922025822,,340200.0,
42.3555,-71.0565,194.16510923703098,,486942.0,
42.3555,-71.0565,186.05103632023952,,346415.0,
42.3555,-71.0565,177.5836108889865,,246000.0,
42.3555,-71.0565,,263.4559946630517,,156572.0
42.3555,-71.0565,,13.234867743543344,,38346.0
42.3555,-71.0565,284.07861552103583,,140316.0,
42.3555,-71.0565,,136.50337262510425,,40240.0
42.3555,-71.0565,157.03259884825616,,119531.0,
42.3555,-71.0565,87.31751963326943,,45414.0,
42.3555,-71.0565,,258.93730506724535,,60106.0
42.3555,-71.0565,,120.62462402393471,,35789.0
42.3555,-71.0565,158.0149334898465,,229178.0,
42.3555,-71.0565,,344.1079799415491,,113000.0
42.3555,-71.0565,235.1025690264757,,18000.0,
42.3555,-71.0565,162.55526612127142,,47124.0,
42.3555,-71.0565,,174.36536695976184,,40866.0
42.3555,-71.0565,146.74036102817152,,105762.0,
42.3555,-71.0565,108.74730501462146,,80768.0,
42.3555,-71.0565,,,115557.0,
42.3555,-71.0565,,113.39319360631663,,43184.0
42.3555,-71.0565,255.12209334765095,,349167.0,
42.3555,-71.0565,,169.06497780436226,,54893.0
42.3555,-71.0565,,230.10906404908104,,91027.0
42.3555,-71.0565,,244.87365313662622,,128700.0
42.3555,-71.0565,203.58506422479746,,72228.0,
42.3555,-71.0565,217.17842975155907,,132000.0,
42.3555,-71.0565,188.67081423702749,,142900.0,
42.3555,-71.0565,469.45579304936905,,17580.0,
42.3555,-71.0565,474.21240084791657,,7690.0,
42.3555,-71.0565,551.5231743131911,,1044.0,
42.3555,-71.0565,470.2538317786045,,5714.0,
42.3555,-71.0565,448.59131731596443,,1190.0,
42.3555,-71.0565,483.8617349283707,,2380.0,
42.3555,-71.0565,73.35357938609609,,2930.0,
42.3555,-71.0565,465.85528703129035,,2060.0,
42.3555,-71.0565,61.29930516716797,,82279.0,
42.3555,-71.0565,219.38859337600974,,70000.0,
42.3555,-71.0565,,233.2687681245461,,76300.0
42.3555,-71.0565,,134.91527614480165,,128641.0
42.3555,-71.0565,,151.3262418849841,,118000.0
42.3555,-71.0565,,226.972917838299,,57800.0
42.3555,-71.0565,,152.02540797349636,,57072.0
42.3555,-71.0565,195.6453450309557,,34271.0,
42.3555,-71.0565,206.72317043534656,,148900.0,
42.3555,-71.0565,96.55845503272721,,165000.0,
42.3555,-71.0565,393.98774015715395,,46952.0,
42.3555,-71.0565,,129.0050828058582,,665770.0
42.3555,-71.0565,,152.88945117267244,,522349.0
42.3555,-71.0565,,229.25239913739213,,58390.0
42.3555,-71.0565,,436.75328136660823,,161936.0
42.3555,-71.0565,,273.8897244079472,,247500.0
42.3555,-71.0565,,181.05525884114735,,46142.0
42.3555,-71.0565,,219.93780771455954,,64510.0
42.3555,-71.0565,,207.83701980744289,,75457.0
42.3555,-71.0565,,4432.242793453251,,80712.0
42.3555,-71.0565,,1105.6647370669723,,1004002.0
42.3555,-71.0565,,1211.5423506643938,,440629.0
42.3555,-71.0565,,601.457615159051,,99634.0
42.3555,-71.0565,,632.3742691080431,,114681.0
42.3555,-71.0565,184.2563081875967,,389985.0,
42.3555,-71.0565,,73.96686803928974,,66225.0
42.3555,-71.0565,160.1235342808793,,44920.0,
42.3555,-71.0565,142.4936510051489,,35923.0,
42.3555,-71.0565,,1022.6654908299257,,197055.0
42.3555,-71.0565,,75.85018987676307,,47470.0
42.3555,-71.0565,255.29407043638483,,80244.0,
42.3555,-71.0565,165.2049311664769,,129648.0,
