lat,lon,pca_result,K_mean_label,C_mean_label,GMM_label
9.02497,38.74689,-0.8318763,13,17,13
60.16952,24.93545,-0.8980303,16,17,16
48.58392,7.74553,-1.0531745,16,17,16
48.85339,2.34864,-0.68845737,16,17,16
43.70313,7.26608,-0.7379865,16,17,16
45.74846,4.84671,-0.96276647,16,17,16
44.806,-0.59763,-0.89878213,17,17,17
0.39241,9.45356,-0.5651524,13,17,13
51.50853,-0.12574,-0.7912502,16,17,16
55.95206,-3.19648,-0.48043835,16,17,16
52.48142,-1.89983,-0.054254703,16,17,16
54.59682,-5.92541,-0.47747472,16,17,16
57.14369,-2.09814,-0.6535578,16,17,16
41.69411,44.83368,-0.3963673,17,17,17
9.40079,-0.8393,-0.26491866,1,17,1
4.89816,-1.76029,1.4254755,8,1,8
5.39876,-0.79751,1.0976406,0,1,0
5.55602,-0.1969,0.07419128,1,1,1
13.45274,-16.57803,0.719598,8,1,8
9.53795,-13.67729,1.36207,8,1,8
3.75578,8.78166,-0.114022575,9,17,9
37.98376,23.72784,1.6945405,15,1,15
40.64361,22.93086,-0.50802827,14,17,14
14.64072,-90.51327,0.14506774,11,1,11
11.57694,-15.47611,1.4852802,8,1,8
11.86357,-15.59767,0.99557185,8,1,8
14.0818,-87.20681,0.21350114,11,1,11
45.81444,15.97798,-0.97552323,17,17,17
43.50891,16.43915,-0.6771311,9,17,9
45.32673,14.44241,-0.611418,9,17,9
18.54349,-72.33881,0.5653261,11,1,11
47.53167,21.62444,-0.87779933,17,17,17
47.23088,16.62155,1.6301414,6,1,6
3.58333,98.66667,-0.560372,13,17,13
-5.14861,119.43194,0.31272027,10,1,10
-7.55611,110.83167,-0.15078706,10,1,10
-7.24917,112.75083,0.88535887,4,1,4
-0.94924,100.35427,-0.17243437,9,17,9
1.48218,124.84892,0.7932526,10,1,10
-6.21462,106.84513,1.56943,6,1,6
-8.65,115.21667,1.1927183,4,1,4
-3.31987,114.59075,0.6365938,10,1,10
-6.92222,107.60694,0.037431315,10,1,10
-1.26753,116.82887,1.7018948,15,1,15
52.65417,-7.25222,-0.62201756,16,17,16
53.33306,-6.24889,-0.8113795,16,17,16
54.18333,-7.23333,0.113230914,0,1,0
31.76904,35.21633,-0.73443,13,17,13
20.82037,70.52262,0.91484183,7,1,7
17.68009,83.20161,-0.09040223,5,2,5
16.50745,80.6466,0.027501246,18,1,18
25.31668,83.01041,0.3692267,5,1,5
23.18239,75.77643,-0.48388985,5,17,5
8.4855,76.94924,1.7371317,15,1,15
13.63551,79.41989,-0.48545918,13,17,13
21.19594,72.83023,-0.62153596,13,17,13
34.08565,74.80555,-0.44546312,5,17,5
31.10442,77.16662,0.06832299,5,17,5
25.56892,91.88313,-0.19094804,5,17,5
23.34316,85.3094,-0.24471916,5,17,5
22.29161,70.79322,-0.26218817,3,17,3
