City,Geonames ID,Country,Residential EUI (kWh/m2/year),Non-residential EUI (kWh/m2/year)
Boston,4930956,United States of America,197.24415525561093,350.01779283974616
Livermore,5367440,United States of America,129.38178592303296,543.7002951870738
Fullerton,5059296,United States of America,101.00890340832446,196.08108315208776
Chicago,4887398,United States of America,262.1856865373321,327.46734171584825
Miami,4164138,United States of America,131.33586803185213,207.25076409462696
New York City,5128581,United States of America,374.0024793311878,444.00997224626883
Philadelphia,4560349,United States of America,192.8846815438721,305.36655276453826
Seattle,5809844,United States of America,101.12058763354771,170.37087467906676
