nearest_humidity_1,nearest_humidity_2,nearest_humidity_3,nearest_humidity_4,nearest_humidity_5,nearest_humidity_6,nearest_humidity_7,nearest_humidity_8,nearest_humidity_9,nearest_humidity_10,nearest_humidity_11,nearest_humidity_12
287.5877685546875,286.74456787109375,289.3006896972656,286.04058837890625,299.5540466308594,300.4413757324219,300.2773132324219,298.6293029785156,299.8604736328125,294.4874267578125,291.96820068359375,292.32659912109375
256.3553466796875,266.9829406738281,274.5370178222656,279.07574462890625,280.1634216308594,274.1269226074219,281.7109069824219,281.91253662109375,275.8585205078125,273.7432861328125,270.8002624511719,263.8422546386719
273.7049560546875,278.4067687988281,279.6952209472656,282.72808837890625,287.5931091308594,290.3144226074219,292.3847351074219,289.23284912109375,287.0284423828125,282.2745361328125,278.85882568359375,277.22113037109375
265.6424560546875,264.18798828125,272.0389709472656,275.62066650390625,277.4231872558594,282.9257507324219,284.3476257324219,284.50628662109375,281.7139892578125,278.8096923828125,265.1479187011719,261.9828796386719
296.7069091796875,297.36566162109375,297.0624084472656,297.4117126464844,293.2688903808594,292.0390319824219,291.2519226074219,292.6019592285156,292.9874267578125,294.9307861328125,296.7455139160156,296.4046936035156
295.9061279296875,296.66058349609375,296.8690490722656,297.2203063964844,295.3704528808594,292.7050476074219,292.3222351074219,293.8460998535156,295.1885986328125,296.1690673828125,296.3587951660156,297.1175842285156
289.6756591796875,289.13323974609375,292.2284240722656,294.8570251464844,285.6048278808594,284.1523132324219,287.3984069824219,289.27972412109375,288.0343017578125,289.6671142578125,292.6498107910156,287.65667724609375
289.3690185546875,290.69769287109375,291.1014709472656,282.69293212890625,280.7962341308594,279.8847351074219,277.1249694824219,273.65081787109375,287.6339111328125,290.4190673828125,291.44866943359375,291.39105224609375
292.3104248046875,287.48284912109375,284.2538146972656,288.84722900390625,284.3684997558594,288.2226257324219,285.6816101074219,277.71527099609375,279.5616455078125,286.7237548828125,283.70648193359375,285.45745849609375
278.1346435546875,280.9106750488281,277.8143615722656,277.28082275390625,278.7005310058594,276.0624694824219,273.7558288574219,268.0844421386719,272.9874267578125,275.6612548828125,275.79241943359375,279.43011474609375
292.3104248046875,287.48284912109375,284.2538146972656,288.84722900390625,284.3684997558594,288.2226257324219,285.6816101074219,277.71527099609375,279.5616455078125,286.7237548828125,283.70648193359375,285.45745849609375
290.5916748046875,286.74261474609375,286.9999084472656,286.92535400390625,283.8431091308594,289.9960632324219,282.6523132324219,280.34417724609375,281.2432861328125,286.2042236328125,283.27093505859375,288.20355224609375
286.5955810546875,285.75823974609375,288.7264709472656,287.58551025390625,285.4075622558594,286.2441101074219,283.7499694824219,274.82464599609375,279.1241455078125,284.3468017578125,285.02679443359375,283.90277099609375
272.8494873046875,267.6782531738281,279.9588928222656,281.55621337890625,278.6927185058594,284.4257507324219,286.8769226074219,284.75823974609375,283.9229736328125,284.1534423828125,269.5346374511719,274.07855224609375
298.1326904296875,299.05902099609375,297.4842834472656,280.01519775390625,280.7259216308594,280.3964538574219,279.3671569824219,280.50042724609375,295.0694580078125,296.4600830078125,295.0287170410156,290.60003662109375
287.4725341796875,288.78558349609375,288.6835021972656,282.52301025390625,288.9739685058594,277.9902038574219,284.7538757324219,282.76995849609375,284.5987548828125,281.6749267578125,288.27288818359375,287.33636474609375
298.7733154296875,297.48870849609375,298.5741271972656,295.9742126464844,283.7513122558594,288.4648132324219,292.8612976074219,292.45159912109375,293.5460205078125,295.5772705078125,298.3334045410156,299.5746154785156
284.6131591796875,286.68597412109375,285.4569396972656,284.95465087890625,286.2122497558594,282.4980163574219,283.6191101074219,282.49652099609375,279.5343017578125,277.4112548828125,285.75921630859375,281.76214599609375
291.6795654296875,291.74066162109375,282.7245178222656,285.68902587890625,284.0911560058594,278.7030944824219,279.9902038574219,285.70745849609375,289.7139892578125,281.7745361328125,289.65765380859375,288.21331787109375
284.9725341796875,286.55706787109375,283.9276428222656,281.34722900390625,284.6028747558594,282.0624694824219,281.5136413574219,281.22308349609375,278.0675048828125,277.7803955078125,285.30023193359375,281.78753662109375
287.6951904296875,287.20550537109375,281.2225646972656,280.82183837890625,282.1028747558594,277.3046569824219,278.6464538574219,280.57659912109375,278.9659423828125,274.5792236328125,284.62835693359375,284.15667724609375
295.0799560546875,292.88323974609375,283.7674865722656,288.30035400390625,282.2513122558594,275.6034851074219,284.8886413574219,286.41253662109375,289.3350830078125,287.3760986328125,288.09710693359375,294.4222717285156
278.5369873046875,279.4477844238281,276.7792053222656,290.08746337890625,291.6556091308594,292.1913757324219,294.4081726074219,287.96331787109375,288.8331298828125,286.6905517578125,277.97991943359375,280.32464599609375
266.6014404296875,271.4927062988281,274.6405334472656,279.64410400390625,283.7669372558594,280.4687194824219,289.1191101074219,284.92230224609375,280.2237548828125,274.3760986328125,268.6166687011719,274.42230224609375
270.9588623046875,273.6196594238281,277.7831115722656,282.86285400390625,285.9173278808594,285.2831726074219,290.1562194824219,287.63519287109375,283.7550048828125,277.8018798828125,272.0424499511719,277.61761474609375
290.1151123046875,291.57855224609375,292.6893615722656,294.4136657714844,300.0227966308594,299.4218444824219,300.5780944824219,301.6957092285156,299.1124267578125,293.6417236328125,291.92523193359375,288.99066162109375
290.1151123046875,291.57855224609375,292.6893615722656,294.4136657714844,300.0227966308594,299.4218444824219,300.5780944824219,301.6957092285156,299.1124267578125,293.6417236328125,291.92523193359375,288.99066162109375
287.8709716796875,291.25628662109375,293.9393615722656,295.1714782714844,299.4388122558594,299.1874694824219,300.2109069824219,298.9027404785156,298.5108642578125,292.0362548828125,291.56585693359375,289.19769287109375
274.9530029296875,268.9106750488281,282.1678771972656,278.75152587890625,282.2239685058594,285.0663757324219,287.4218444824219,284.03753662109375,284.2296142578125,281.9991455078125,273.86663818359375,279.17034912109375
271.3670654296875,278.9341125488281,275.8221740722656,294.9742126464844,295.1204528808594,296.7382507324219,297.4159851074219,295.1468811035156,296.7452392578125,289.9718017578125,288.46624755859375,274.11761474609375
268.4373779296875,275.6899719238281,273.1639709472656,277.14605712890625,283.7962341308594,282.3730163574219,288.3085632324219,286.57073974609375,280.0928955078125,278.5264892578125,268.9115905761719,273.12738037109375
269.7830810546875,279.4731750488281,272.2967834472656,279.13238525390625,286.9466247558594,282.5429382324219,286.3945007324219,285.78753662109375,280.3214111328125,280.6475830078125,275.28656005859375,272.6176452636719
286.8748779296875,291.33636474609375,291.6991271972656,291.45074462890625,288.5306091308594,289.8710632324219,290.7734069824219,290.34417724609375,289.3624267578125,290.1632080078125,291.77679443359375,292.01409912109375
298.2908935546875,298.10589599609375,297.7967834472656,295.9664001464844,298.3860778808594,296.9433288574219,297.0917663574219,296.5277404785156,296.7589111328125,297.3389892578125,298.4974670410156,298.7640686035156
292.2147216796875,293.33050537109375,292.7167053222656,290.04254150390625,285.9915466308594,285.9257507324219,285.4667663574219,286.67816162109375,286.4698486328125,288.2139892578125,292.02288818359375,291.02581787109375
293.5272216796875,294.25238037109375,291.9452209472656,291.22613525390625,288.4837341308594,288.2343444824219,286.5077819824219,287.69964599609375,286.6885986328125,287.8858642578125,291.74749755859375,289.73284912109375
296.0252685546875,294.85003662109375,295.4159240722656,293.9527282714844,293.5599060058594,290.7773132324219,290.2519226074219,290.28363037109375,289.1280517578125,292.4327392578125,293.4173889160156,292.6800842285156
295.9940185546875,297.04339599609375,295.0448303222656,297.0640563964844,294.9466247558594,292.6327819824219,292.7577819824219,293.0687561035156,292.6612548828125,294.7159423828125,294.8744201660156,295.7347717285156
296.2615966796875,297.13323974609375,295.8221740722656,296.3843688964844,295.4309997558594,293.6015319824219,294.0331726074219,293.8168029785156,294.2003173828125,296.1260986328125,296.1068420410156,296.8793029785156
289.0350341796875,290.99652099609375,290.6288146972656,288.31402587890625,288.7278747558594,285.8886413574219,284.8476257324219,287.66448974609375,285.2530517578125,288.8409423828125,289.28265380859375,292.06878662109375
288.8455810546875,290.82855224609375,290.2049865722656,287.99957275390625,287.7298278808594,286.6171569824219,284.4882507324219,286.93792724609375,285.0987548828125,288.7218017578125,289.03265380859375,292.10589599609375
294.7459716796875,295.30316162109375,293.9237365722656,292.28082275390625,288.5774841308594,287.1210632324219,286.1737976074219,288.55511474609375,285.3116455078125,288.8135986328125,290.14788818359375,290.46136474609375
289.3162841796875,291.28167724609375,291.0565490722656,288.38238525390625,288.3235778808594,285.8632507324219,284.9472351074219,288.73284912109375,285.3507080078125,288.9581298828125,289.40374755859375,291.44964599609375
290.6131591796875,288.19964599609375,288.1620178222656,286.81402587890625,285.0345153808594,289.3144226074219,281.1288757324219,281.32659912109375,285.0303955078125,286.0577392578125,283.86273193359375,290.81488037109375
288.7596435546875,290.47503662109375,290.1678771972656,287.47613525390625,286.5110778808594,286.7753601074219,283.8964538574219,285.97894287109375,285.2843017578125,288.6046142578125,288.72406005859375,291.93402099609375
293.8045654296875,293.92034912109375,291.5604553222656,290.96441650390625,289.0481872558594,287.9823913574219,286.8437194824219,287.50042724609375,286.3643798828125,287.8487548828125,291.78851318359375,289.72113037109375
288.6229248046875,290.30120849609375,289.3612365722656,286.27691650390625,283.7649841308594,288.0214538574219,283.4921569824219,284.11175537109375,286.0284423828125,288.1358642578125,287.59320068359375,291.33831787109375
293.6463623046875,294.44964599609375,292.2284240722656,291.39605712890625,288.1692810058594,287.4843444824219,286.3808288574219,287.93988037109375,286.9600830078125,288.0479736328125,291.83734130859375,289.62542724609375
291.3162841796875,292.61956787109375,291.9276428222656,289.74566650390625,286.9192810058594,288.0527038574219,285.5878601074219,286.67230224609375,285.8292236328125,288.6085205078125,291.70452880859375,290.94183349609375
296.0994873046875,296.93988037109375,295.0975646972656,297.2144470214844,294.8899841308594,292.7284851074219,293.0566101074219,293.3656311035156,293.1573486328125,295.0518798828125,295.3080139160156,296.3753967285156
272.1678466796875,273.2251281738281,275.7713928222656,280.48004150390625,282.8626403808594,286.1073913574219,285.9667663574219,286.06683349609375,281.6807861328125,274.5675048828125,272.6381530761719,269.2699890136719
290.4998779296875,289.76409912109375,287.0643615722656,285.02301025390625,281.7220153808594,274.6503601074219,265.9159851074219,274.83636474609375,277.4053955078125,282.0167236328125,285.77484130859375,288.77581787109375
272.1737060546875,264.09814453125,266.5213928222656,270.0346984863281,276.6438903808594,286.4433288574219,287.0429382324219,291.73675537109375,282.9913330078125,279.8135986328125,271.9740905761719,274.29339599609375
