geonameid,nearest_cdd_1,nearest_cdd_2,nearest_cdd_3,nearest_cdd_4,nearest_cdd_5,nearest_cdd_6,nearest_cdd_7,nearest_cdd_8,nearest_cdd_9,nearest_cdd_10,nearest_cdd_11,nearest_cdd_12,total_year,average_year,variance_year
292968,37.870887756347656,38.37130610148112,35.10729344685876,24.50169626871743,2.352616628011068,0.0,1.2601318359375,0.2134513854980468,12.751818339029915,26.86282730102539,37.18433507283528,34.214108784993506,138.20380020141604,23.033966700236007,312.3139035817371
1138958,5.577723185221355,0.2503471374511719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.828070322672527,0.9713450537787546,5.102520467836629
3183875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2240449,102.08084869384756,110.94682693481444,122.98603693644196,82.20539093017578,66.07623163859054,60.86131668090821,48.60155995686855,54.10939407348627,49.87462107340493,76.71308771769205,77.2285245259603,49.986175537109375,545.1566518147785,90.85944196912976,630.1057484630579
2243271,48.052932739257805,56.7637596130371,37.85460789998372,21.02450815836588,7.733010609944648,18.702164967854817,12.251833597819006,26.945921579996757,26.71433766682942,27.441294352213554,24.969318389892553,36.925710042317704,190.13098398844397,31.68849733140733,358.1630563311432
3347019,33.69571558634441,63.557820638020864,60.864943186442105,90.31362660725902,133.59356562296554,126.7817268371582,139.58080800374336,124.42197545369476,86.03624216715501,62.42063522338859,50.07746887207031,11.468902587890623,508.8073984781902,84.80123307969836,1561.8885035640628
3347719,81.26458867390951,103.07321039835604,112.65270360310856,124.66640981038422,103.58502070109031,74.51715977986656,38.88126373291016,59.49554316202804,68.29853057861328,81.37519709269206,73.97251383463542,50.909515380859375,599.7590929667152,99.95984882778588,358.2401575049228
3435910,0.0,0.0,8.349082946777344,11.18075307210286,0.0,59.17522811889649,89.76586659749353,31.83240127563477,23.493645985921237,2.886067708333334,0.0,0.0,78.7050641377767,13.11751068962945,532.8019056159374
3836350,0.0,0.0,0.0,0.0,1.8898035685221364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8898035685221364,0.3149672614203561,0.5952262545998335
3844419,0.0,0.0,8.349082946777344,11.18075307210286,0.0,59.17522811889649,89.76586659749353,31.83240127563477,23.493645985921237,2.886067708333334,0.0,0.0,78.7050641377767,13.11751068962945,532.8019056159374
3860259,0.0,0.0,28.526920318603516,75.07347361246744,26.06109364827473,141.9613329569499,168.22704823811858,103.15488560994464,45.97561518351236,38.91492716471354,1.291706085205078,0.0,271.62282053629554,45.27047008938259,2997.1039014963653
3865086,0.0,0.0,17.91355768839518,2.588812510172526,2.237238566080729,31.127755482991525,65.31502024332679,33.32135772705078,27.317086537679025,0.0,0.0,0.0,53.86736424763996,8.977894041273327,163.5848817161538
2761369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2063042,11.807941436767578,13.256966908772776,32.15311050415039,44.25006866455079,63.01356887817383,60.41478347778321,58.7608210245768,66.08253860473633,69.7617467244466,52.244581858317034,36.624276479085296,22.753089904785156,224.89643987019855,37.482739978366425,499.5973784441612
2063523,0.0,0.0,0.0,15.315678914388029,24.465115865071606,38.67845535278321,81.50374094645184,33.776484171549484,7.55720392862956,22.355159759521484,0.0,0.0,78.45925013224284,13.07654168870714,260.6318336316556
2073124,55.94665273030594,51.22994867960621,62.47700373331711,65.30272165934248,62.21132278442383,63.777657826741574,61.543454488118606,66.76369094848626,54.299588521321574,67.70169448852533,66.6126391092936,63.450681050618435,360.9453074137372,60.15755123562286,29.321908300836004
2078025,0.0,0.0,0.0,0.0,0.0,19.485095977783207,49.698972066243506,44.4067573547363,26.276476542154928,0.0,0.0,0.0,19.485095977783207,3.247515996297201,63.27816087723723
2147714,0.0,0.0,0.0,0.0,0.0,12.560047149658203,60.28710683186852,46.67221959431963,40.52769724527996,0.0,0.0,0.0,12.560047149658203,2.0933411916097007,26.292464066939523
2158177,0.0,0.0,0.0,0.0,0.0,13.962716420491542,51.8534317016601,45.33261998494468,26.644803365071635,0.0,0.0,0.0,13.962716420491542,2.327119403415257,32.49290830651069
2172517,0.0,0.0,0.0,0.0,0.0,11.876372019449876,57.87784576416023,46.152525583902985,39.35207875569661,0.0,0.0,0.0,11.876372019449876,1.9793953365749797,23.508035390728654
2174003,0.0,0.0,0.0,4.801256815592448,32.422260284423785,49.4785041809082,55.39037831624344,55.66090774536133,61.19184112548828,25.291131337483687,22.84733963012697,14.104977925618496,86.70202128092444,14.450336880154074,453.90079784814026
587084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3191281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3204541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1185241,7.837114969889316,18.305062611897796,11.655470530192057,5.2701797485351545,0.0,1.5854530334472656,0.0,0.0,0.0,0.0,14.229501088460292,16.688311258951835,44.65328089396159,7.442213482326932,46.062977672180395
1337182,7.544471740722667,18.443815867106117,11.261915842692062,5.12133534749349,0.0,1.628340403238931,0.0,0.0,0.0,0.0,12.766284942626957,16.125729878743492,43.999879201253265,7.333313200208877,46.02776385806333
