index,geonameid,name_x,asciiname,latitude,longitude,iso alpha 2,City,Geonames ID,Country,Residential EUI (kWh/m2/year),Non-residential EUI (kWh/m2/year),source,ISO_alpha3,Population_2023,population_density,Subnational HDI,Educational index,Income index,GDP_2022,Urbanization_Rate_2022,Paris_Agreement,iso3,name_y,continent,region,Region Grouped,hdd_total_year,hdd_average_year,hdd_variance_year,cdd_total_year,cdd_average_year,cdd_variance_year,2m_temperature_2023_avg,2m_dewpoint_temperature_2023_avg,total_precipitation_2023,longitude_sin,longitude_cos,latitude_sin,latitude_cos,pca_result,K_mean_label,C_mean_label,GMM_label,K_mean_0.0,K_mean_1.0,K_mean_2.0,K_mean_3.0,K_mean_4.0,K_mean_5.0,K_mean_6.0,K_mean_7.0,K_mean_8.0,K_mean_9.0,K_mean_10.0,K_mean_11.0,K_mean_12.0,K_mean_13.0,K_mean_14.0,K_mean_15.0,K_mean_16.0,K_mean_17.0,K_mean_18.0,K_mean_19.0,C_mean_0.0,C_mean_1.0,C_mean_2.0,C_mean_6.0,C_mean_7.0,C_mean_8.0,C_mean_14.0,C_mean_17.0,GMM_0.0,GMM_1.0,GMM_2.0,GMM_3.0,GMM_4.0,GMM_5.0,GMM_6.0,GMM_7.0,GMM_8.0,GMM_9.0,GMM_10.0,GMM_11.0,GMM_12.0,GMM_13.0,GMM_14.0,GMM_15.0,GMM_16.0,GMM_17.0,GMM_18.0,GMM_19.0
10,3844419,Mendoza Province,Mendoza Province,-34.5,-68.5,AR,Mendoza,3844419,Argentina,103.3340517,109.827459,World Bank CURB,ARG,46654581.0,0.0,0.849,0.871,0.815,0.849,92.347,1,ARG,Argentina,Americas,South America,Central and South America,265.37443033854186,22.114535861545153,1738.6225003908503,1440.167495727539,120.01395797729492,11760.725324572351,288.69,276.82,0.292,-0.9304175679820246,0.3665012267242973,-0.5664062369248328,0.8241261886220157,1.2668575,19.0,1.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,3860259,Córdoba,Cordoba,-31.4135,-64.18105,AR,Cordoba,3860259,Argentina,92.02693966,106.4455502,World Bank CURB,ARG,46654581.0,11852.757259975671,0.849,0.871,0.815,0.849,92.347,1,ARG,Argentina,Americas,South America,Central and South America,35.883878072102874,2.9903231726752395,107.3043921244621,1835.7628809611008,152.98024008009173,13275.618202515068,291.18,283.03,0.506,-0.9001747738750419,0.4355288468965256,-0.5212107305449575,0.8534280135809884,0.2585567,10.0,1.0,10.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,3865086,Bahía Blanca,Bahia Blanca,-38.7176,-62.26545,AR,Bahia Blanca,3865086,Argentina,119.2575431,111.9726767,World Bank CURB,ARG,46654581.0,9520.702189293172,0.849,0.871,0.815,0.849,92.347,1,ARG,Argentina,Americas,South America,Central and South America,940.5816307067876,78.38180255889897,12238.483612610527,970.4131075541188,80.86775896284324,11149.05902942045,289.23,280.99,0.514,-0.8851131598107569,0.4653758635015547,-0.6254823578448776,0.7802383097649156,0.011727463,10.0,1.0,10.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,2761369,Vienna,Vienna,48.20849,16.37208,AT,Vienna,2761369,Austria,255.5062177,250.6992299,World Bank CURB,AUT,9132383.0,16040.106080830095,0.926,0.865,0.957,0.926,59.256,1,AUT,Austria,Europe,Western Europe,Europe,4712.820378621418,392.73503155178486,3241.655384474096,0.0,0.0,0.0,285.33,279.67,0.776,0.2818739535466969,0.9594514444785388,0.7455747572489921,0.6664219994516285,0.47580317,18.0,1.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,2063042,Port Hedland,Port Hedland,-20.31215,118.61059,AU,Port Hedland,2063042,Australia,122.6210224,236.6490719,World Bank CURB,AUS,26638544.0,31.751481231674557,0.946,0.924,0.936,0.946,86.488,1,AUS,Australia,Oceania,Australia and New Zealand,Asia & Oceania,0.0,0.0,0.0,3079.491795857747,256.62431632147894,3781.0873845261817,299.57,291.15,0.198,0.8778944836393816,-0.47885412767934205,-0.3471345301578103,0.9378153432164118,0.95574397,12.0,1.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,2063523,Perth,Perth,-31.95224,115.8614,AU,Perth,2063523,Australia,117.3517822,167.7181503,World Bank CURB,AUS,26638544.0,3879.432269701424,0.946,0.924,0.936,0.946,86.488,1,AUS,Australia,Oceania,Australia and New Zealand,Asia & Oceania,1565.2986501057962,130.44155417548302,31354.097525031484,1358.6643066406257,113.22202555338548,14187.94066903397,292.23,284.77,0.405,0.8998518468870708,-0.4361956598293107,-0.5292121733950244,0.8484895258814422,0.30535385,12.0,1.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,2073124,Darwin,Darwin,-12.46113,130.84185,AU,Darwin,2073124,Australia,129.0929133,290.4442301,World Bank CURB,AUS,26638544.0,1940.096409600463,0.946,0.924,0.936,0.946,86.488,1,AUS,Australia,Oceania,Australia and New Zealand,Asia & Oceania,0.0,0.0,0.0,3723.7786610921225,310.31488842434356,271.09673301697427,300.67,293.62,1.785,0.7565175820922098,-0.6539733541860531,-0.21577723571512766,0.9764426171297207,1.4083052,4.0,1.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2078025,Adelaide,Adelaide,-34.92866,138.59863,AU,Adelaide,2078025,Australia,133.7787489,164.762517,World Bank CURB,AUS,26638544.0,2445.14276800869,0.946,0.924,0.936,0.946,86.488,1,AUS,Australia,Oceania,Australia and New Zealand,Asia & Oceania,1222.6723200480142,101.88936000400118,15686.41601241138,934.206352233887,77.85052935282391,12909.87936692362,288.78,283.18,0.523,0.6613298010484535,-0.7500952567809058,-0.5725560511379049,0.8198655794124845,0.17181365,10.0,1.0,10.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,2147714,Sydney,Sydney,-33.86785,151.20732,AU,Sydney,2147714,Australia,106.9742212,176.7000217,World Bank CURB,AUS,26638544.0,6964.191273947803,0.946,0.924,0.936,0.946,86.488,1,AUS,Australia,Oceania,Australia and New Zealand,Asia & Oceania,432.85142262776674,36.070951885647226,4179.439227064813,1180.667925516765,98.38899379306376,13318.073079096685,291.57,286.23,0.83,0.48164171489284435,-0.876368220826771,-0.5572792819207799,0.8303251182168704,0.7174442,12.0,1.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,2158177,Melbourne,Melbourne,-37.814,144.96332,AU,Melbourne,2158177,Australia,162.9455159,167.2519669,World Bank CURB,AUS,26638544.0,5865.708114918976,0.946,0.924,0.936,0.946,86.488,1,AUS,Australia,Oceania,Australia and New Zealand,Asia & Oceania,946.8149236043284,78.90124363369402,14542.34497983918,959.2215143839516,79.93512619866264,12836.32560269028,287.86,282.8,0.704,0.5741007290792746,-0.8187846804078869,-0.6131001066461824,0.7900052273437435,0.4487779,10.0,1.0,10.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
